16:00:09 [INFO] __main__: log file: C:\document\wingman_yolo\logs\wingman_yolo.log
16:00:09 [INFO] __main__: loaded config from ./configs/config.yaml
16:00:17 [INFO] core.detector: frame #524: 1 detections found (max conf=0.870, cls0=1)
16:00:17 [INFO] core.detector: frame #526: 1 detections found (max conf=0.863, cls0=1)
16:00:17 [INFO] core.detector: frame #528: 1 detections found (max conf=0.751, cls0=1)
16:00:17 [INFO] core.detector: frame #530: 1 detections found (max conf=0.801, cls0=1)
16:00:17 [INFO] core.detector: frame #532: 1 detections found (max conf=0.831, cls0=1)
16:00:17 [INFO] core.detector: frame #534: 1 detections found (max conf=0.823, cls0=1)
16:00:17 [INFO] core.detector: frame #536: 1 detections found (max conf=0.816, cls0=1)
16:00:17 [INFO] core.detector: frame #538: 1 detections found (max conf=0.870, cls0=1)
16:00:17 [INFO] core.detector: frame #540: 1 detections found (max conf=0.877, cls0=1)
16:00:17 [INFO] core.detector: frame #542: 2 detections found (max conf=0.856, cls0=1 cls9=1)
16:00:17 [INFO] core.detector: frame #544: 1 detections found (max conf=0.823, cls0=1)
16:00:17 [INFO] core.aim_controller: aim: OK — 81 moves/s (cache=True vel=(55,-22))
16:00:17 [INFO] core.detector: frame #546: 1 detections found (max conf=0.846, cls0=1)
16:00:17 [INFO] core.detector: frame #548: 1 detections found (max conf=0.761, cls0=1)
16:00:17 [INFO] core.detector: frame #555: 1 detections found (max conf=0.528, cls0=1)
16:00:17 [INFO] core.detector: frame #557: 1 detections found (max conf=0.548, cls0=1)
16:00:17 [INFO] core.detector: frame #559: 1 detections found (max conf=0.519, cls0=1)
16:00:17 [INFO] core.detector: frame #561: 1 detections found (max conf=0.860, cls0=1)
16:00:17 [INFO] core.detector: frame #563: 1 detections found (max conf=0.857, cls0=1)
16:00:17 [INFO] core.detector: frame #565: 1 detections found (max conf=0.840, cls0=1)
16:00:17 [INFO] core.detector: frame #567: 2 detections found (max conf=0.813, cls0=1 cls8=1)
16:00:17 [INFO] core.detector: frame #569: 2 detections found (max conf=0.821, cls0=1 cls8=1)
16:00:17 [INFO] core.aim_controller: aim loop auto-tuned: 81 → 72 Hz (detection: 48 FPS)
16:00:17 [INFO] core.detector: frame #571: 2 detections found (max conf=0.804, cls0=1 cls8=1)
16:00:17 [INFO] core.detector: frame #573: 1 detections found (max conf=0.863, cls0=1)
16:00:17 [INFO] core.detector: frame #575: 1 detections found (max conf=0.877, cls0=1)
16:00:18 [INFO] core.detector: frame #577: 1 detections found (max conf=0.883, cls0=1)
16:00:18 [INFO] core.detector: frame #579: 2 detections found (max conf=0.864, cls0=1 cls13=1)
16:00:18 [INFO] core.detector: frame #581: 2 detections found (max conf=0.854, cls0=1 cls13=1)
16:00:18 [INFO] core.detector: frame #583: 2 detections found (max conf=0.821, cls0=1 cls13=1)
16:00:18 [INFO] core.detector: frame #585: 2 detections found (max conf=0.890, cls0=1 cls13=1)
16:00:18 [INFO] core.detector: frame #587: 2 detections found (max conf=0.887, cls0=1 cls13=1)
16:00:18 [INFO] core.detector: frame #589: 2 detections found (max conf=0.869, cls0=1 cls13=1)
16:00:18 [INFO] core.detector: frame #591: 1 detections found (max conf=0.880, cls0=1)
