epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
42,4662.87,0.97784,0.70701,1.14691,0.95956,0.92103,0.96532,0.73081,0.94707,0.64209,1.13501,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,4760.88,0.99297,0.71978,1.15796,0.96605,0.90668,0.96307,0.73104,0.94052,0.6631,1.12015,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,4859.12,0.96544,0.69985,1.1378,0.96335,0.9137,0.96608,0.73439,0.94942,0.62887,1.13065,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,4957.6,0.95839,0.68891,1.139,0.96429,0.92299,0.96654,0.73446,0.94279,0.64511,1.13231,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,5057.26,0.96631,0.68906,1.13472,0.97058,0.91741,0.96643,0.74099,0.92433,0.62217,1.10986,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,5158.44,0.96276,0.68942,1.14013,0.96401,0.92063,0.96412,0.74219,0.93485,0.638,1.12024,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,5258.39,0.95155,0.67681,1.132,0.97049,0.90846,0.96431,0.74299,0.9239,0.61716,1.119,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,5357.73,0.9461,0.67383,1.13027,0.96386,0.91947,0.96278,0.73981,0.93076,0.61128,1.12626,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,5458.45,0.93682,0.66104,1.1249,0.97019,0.91831,0.96705,0.74278,0.92393,0.61633,1.11366,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,5558.09,0.91571,0.64974,1.11457,0.96474,0.91943,0.9649,0.74751,0.90217,0.60046,1.09899,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,5658.02,0.93046,0.65293,1.12143,0.96035,0.92622,0.96664,0.74639,0.89666,0.6034,1.0987,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,5758.32,0.92818,0.65798,1.1225,0.96548,0.92063,0.9669,0.74952,0.90226,0.6066,1.09342,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
